node	node_type
MeSH_Tree_Disease:MeSH_Tree_Disease:C12.200.777	MeSH_Tree_Disease
MeSH_Tree_Disease:MeSH_Tree_Disease:C04.557.450.565.590.425.350	MeSH_Tree_Disease
MeSH_Tree_Disease:MeSH_Tree_Disease:C14.907.454.460	MeSH_Tree_Disease
MeSH_Disease:D018887	MeSH_Tree_Disease
MeSH_Tree_Disease:F03.875.450	MeSH_Tree_Disease
MeSH_Tree_Disease:C11.270.147.500	MeSH_Tree_Disease
MeSH_Tree_Disease:MeSH_Tree_Disease:C12.050.351.968.419.331	MeSH_Tree_Disease
MeSH_Tree_Disease:C08.702.196	MeSH_Tree_Disease
MeSH_Tree_Disease:C16.320.565.189.435.825.590	MeSH_Tree_Disease
MeSH_Tree_Disease:C05.116.099	MeSH_Tree_Disease
MeSH_Tree_Disease:C16.131.240.850.750.125	MeSH_Tree_Disease
MeSH_Tree_Disease:MeSH_Tree_Disease:C26.915.300.400.825.500	MeSH_Tree_Disease
MeSH_Tree_Disease:MeSH_Tree_Disease:C12.050.703.223.650	MeSH_Tree_Disease
MeSH_Tree_Disease:C18.452.660.560	MeSH_Tree_Disease
MeSH_Tree_Disease:MeSH_Tree_Disease:C01.150.252.410.040	MeSH_Tree_Disease
MeSH_Tree_Disease:MeSH_Tree_Disease:C08.381.450	MeSH_Tree_Disease
MeSH_Disease:D018288	MeSH_Tree_Disease
MeSH_Tree_Disease:MeSH_Tree_Disease:C15.378.420.155.440	MeSH_Tree_Disease
MeSH_Disease:D058489	MeSH_Tree_Disease
MeSH_Tree_Disease:MeSH_Tree_Disease:C10.597.350.850	MeSH_Tree_Disease
MeSH_Tree_Disease:C10.720.475	MeSH_Tree_Disease
MeSH_Tree_Disease:C12.050.351.500.944.902.368	MeSH_Tree_Disease
MeSH_Disease:D005383	MeSH_Tree_Disease
MeSH_Tree_Disease:MeSH_Tree_Disease:C23.888.592.763.941.811	MeSH_Tree_Disease
MeSH_Tree_Disease:MeSH_Tree_Disease:C04.557.470.200.025.370.315	MeSH_Tree_Disease
MeSH_Tree_Disease:MeSH_Tree_Disease:C10.228.140.300.150.716	MeSH_Tree_Disease
MeSH_Disease:D000079262	MeSH_Tree_Disease
MeSH_Tree_Disease:C15.604.515.925	MeSH_Tree_Disease
MeSH_Disease:D018238	MeSH_Tree_Disease
MeSH_Tree_Disease:MeSH_Tree_Disease:C16.320.070.785	MeSH_Tree_Disease
MeSH_Tree_Disease:C01.925.256.743.494	MeSH_Tree_Disease
MeSH_Tree_Disease:C14.907.585.250.290	MeSH_Tree_Disease
MeSH_Tree_Disease:C19.391.630.705.265	MeSH_Tree_Disease
MeSH_Tree_Disease:C23.888.885.437	MeSH_Tree_Disease
MeSH_Tree_Disease:C08.528.380	MeSH_Tree_Disease
MeSH_Tree_Disease:MeSH_Tree_Disease:C04.557.465.625.650.240.695	MeSH_Tree_Disease
MeSH_Tree_Disease:MeSH_Tree_Disease:C23.300.175.700	MeSH_Tree_Disease
MeSH_Tree_Disease:MeSH_Tree_Disease:C26.289	MeSH_Tree_Disease
MeSH_Tree_Disease:MeSH_Tree_Disease:C08.785.640.350	MeSH_Tree_Disease
MeSH_Tree_Disease:MeSH_Tree_Disease:C18.452.648.202.810.766	MeSH_Tree_Disease
MeSH_Disease:D008269	MeSH_Tree_Disease
MeSH_Tree_Disease:MeSH_Tree_Disease:C18.452.584.563.641.803.350.300.850	MeSH_Tree_Disease
MeSH_Disease:D052178	MeSH_Tree_Disease
MeSH_Tree_Disease:MeSH_Tree_Disease:C22.214	MeSH_Tree_Disease
MeSH_Tree_Disease:C10.597.057	MeSH_Tree_Disease
MeSH_Tree_Disease:MeSH_Tree_Disease:C16.614.492	MeSH_Tree_Disease
MeSH_Tree_Disease:C05.550.114.865.800.744.500	MeSH_Tree_Disease
MeSH_Disease:D059388	MeSH_Tree_Disease
MeSH_Tree_Disease:C25.723.415.151	MeSH_Tree_Disease
MeSH_Tree_Disease:C23.550.382.250	MeSH_Tree_Disease
MeSH_Tree_Disease:MeSH_Tree_Disease:C12.200.294.430.877	MeSH_Tree_Disease
MeSH_Tree_Disease:C08.381.540	MeSH_Tree_Disease
MeSH_Tree_Disease:C16.614.378	MeSH_Tree_Disease
MeSH_Tree_Disease:C20.543.480.904.066.500.750	MeSH_Tree_Disease
MeSH_Tree_Disease:C22.717	MeSH_Tree_Disease
MeSH_Tree_Disease:MeSH_Tree_Disease:C15.378.140.735	MeSH_Tree_Disease
MeSH_Tree_Disease:MeSH_Tree_Disease:C17.800.838.765.420	MeSH_Tree_Disease
MeSH_Disease:D016715	MeSH_Tree_Disease
MeSH_Tree_Disease:MeSH_Tree_Disease:C10.551.240.500.500	MeSH_Tree_Disease
MeSH_Disease:D010255	MeSH_Tree_Disease
MeSH_Disease:D012757	MeSH_Tree_Disease
MeSH_Tree_Disease:MeSH_Tree_Disease:C04.557.450.795.300	MeSH_Tree_Disease
MeSH_Tree_Disease:MeSH_Tree_Disease:C16.131.621.207.532.500	MeSH_Tree_Disease
MeSH_Disease:D004617	MeSH_Tree_Disease
MeSH_Disease:D009855	MeSH_Tree_Disease
MeSH_Tree_Disease:MeSH_Tree_Disease:C01.150.252.400.625.549.449	MeSH_Tree_Disease
MeSH_Tree_Disease:MeSH_Tree_Disease:C16.300.895	MeSH_Tree_Disease
MeSH_Tree_Disease:MeSH_Tree_Disease:C22.196.260	MeSH_Tree_Disease
MeSH_Tree_Disease:MeSH_Tree_Disease:C01.925.782.147.420	MeSH_Tree_Disease
MeSH_Tree_Disease:MeSH_Tree_Disease:C17.800.174.660	MeSH_Tree_Disease
MeSH_Tree_Disease:MeSH_Tree_Disease:C12.950.934.363	MeSH_Tree_Disease
MeSH_Tree_Disease:MeSH_Tree_Disease:C26.176.724	MeSH_Tree_Disease
MeSH_Disease:D013801	MeSH_Tree_Disease
MeSH_Tree_Disease:C18.452.648.398.641.803.925.750	MeSH_Tree_Disease
MeSH_Tree_Disease:C12.100.250.852.593.112	MeSH_Tree_Disease
MeSH_Tree_Disease:C11.941.879.780.880	MeSH_Tree_Disease
MeSH_Tree_Disease:MeSH_Tree_Disease:C05.550.518.625	MeSH_Tree_Disease
